year,month,day,hour,minute,dhi,dni,ghi,temperature
2022,1,1,21,0,0,0,0,-15.4
2022,1,1,21,10,0,0,0,-15.5
2022,1,1,21,20,0,0,0,-15.6
2022,1,1,21,30,0,0,0,-15.7
2022,1,1,21,40,0,0,0,-15.8
2022,1,1,21,50,0,0,0,-15.9
2022,1,1,22,0,0,0,0,-16
2022,1,1,22,10,0,0,0,-16.1
2022,1,1,22,20,0,0,0,-16.2
2022,1,1,22,30,0,0,0,-16.3
2022,1,1,22,40,0,0,0,-16.4
2022,1,1,22,50,0,0,0,-16.5
2022,1,1,23,0,0,0,0,-16.6
2022,1,1,23,10,0,0,0,-16.6
2022,1,1,23,20,0,0,0,-16.7
2022,1,1,23,30,0,0,0,-16.7
2022,1,1,23,40,0,0,0,-16.8
2022,1,1,23,50,0,0,0,-16.9
2022,1,2,0,0,0,0,0,-16.9
2022,1,2,0,10,0,0,0,-16.9
2022,1,2,0,20,0,0,0,-17
2022,1,2,0,30,0,0,0,-17
2022,1,2,0,40,0,0,0,-17
2022,1,2,0,50,0,0,0,-17.1
2022,1,2,1,0,0,0,0,-17.1
2022,1,2,1,10,0,0,0,-17.1
2022,1,2,1,20,0,0,0,-17.1
2022,1,2,1,30,0,0,0,-17.1
2022,1,2,1,40,0,0,0,-17.1
2022,1,2,1,50,0,0,0,-17.1
2022,1,2,2,0,0,0,0,-17.1
2022,1,2,2,10,0,0,0,-17.1
2022,1,2,2,20,0,0,0,-17.2
2022,1,2,2,30,0,0,0,-17.2
2022,1,2,2,40,0,0,0,-17.2
2022,1,2,2,50,0,0,0,-17.2
2022,1,2,3,0,0,0,0,-17.2
2022,1,2,3,10,0,0,0,-17.2
2022,1,2,3,20,0,0,0,-17.3
2022,1,2,3,30,0,0,0,-17.3
2022,1,2,3,40,0,0,0,-17.4
2022,1,2,3,50,0,0,0,-17.4
2022,1,2,4,0,0,0,0,-17.5
2022,1,2,4,10,0,0,0,-17.5
2022,1,2,4,20,0,0,0,-17.6
2022,1,2,4,30,0,0,0,-17.6
2022,1,2,4,40,0,0,0,-17.6
2022,1,2,4,50,0,0,0,-17.6
2022,1,2,5,0,0,0,0,-17.7
2022,1,2,5,10,0,0,0,-17.6
2022,1,2,5,20,0,0,0,-17.6
2022,1,2,5,30,0,0,0,-17.5
2022,1,2,5,40,0,0,0,-17.5
2022,1,2,5,50,0,0,0,-17.4
2022,1,2,6,0,0,0,0,-17.4
2022,1,2,6,10,0,0,0,-17.3
2022,1,2,6,20,0,0,0,-17.1
2022,1,2,6,30,0,0,0,-17
2022,1,2,6,40,0,0,0,-16.9
2022,1,2,6,50,0,0,0,-16.8
2022,1,2,7,0,0,0,0,-16.7
2022,1,2,7,10,0,0,0,-16.6
2022,1,2,7,20,0,0,0,-16.4
2022,1,2,7,30,0,0,0,-16.3
2022,1,2,7,40,0,0,0,-16.2
2022,1,2,7,50,0,0,0,-16.1
2022,1,2,8,0,0,0,0,-16
2022,1,2,8,10,14,409,31,-15.6
2022,1,2,8,20,19,500,52,-15.3
2022,1,2,8,30,23,574,76,-14.9
2022,1,2,8,40,26,634,102,-14.6
2022,1,2,8,50,30,684,128,-14.3
2022,1,2,9,0,32,725,155,-13.9
2022,1,2,9,10,35,760,181,-13.1
2022,1,2,9,20,37,790,207,-12.4
2022,1,2,9,30,39,816,233,-11.6
2022,1,2,9,40,40,841,257,-10.8
2022,1,2,9,50,42,860,281,-10
2022,1,2,10,0,44,877,304,-9.2
2022,1,2,10,10,45,892,327,-8.8
2022,1,2,10,20,46,905,348,-8.3
2022,1,2,10,30,48,916,367,-7.9
2022,1,2,10,40,49,927,386,-7.4
2022,1,2,10,50,50,935,403,-6.9
2022,1,2,11,0,51,943,418,-6.5
2022,1,2,11,10,51,950,432,-6.1
2022,1,2,11,20,52,955,445,-5.8
2022,1,2,11,30,53,960,456,-5.4
2022,1,2,11,40,53,964,465,-5.1
2022,1,2,11,50,54,968,473,-4.7
2022,1,2,12,0,54,970,479,-4.4
2022,1,2,12,10,54,972,484,-4.1
2022,1,2,12,20,55,973,486,-3.8
2022,1,2,12,30,55,974,488,-3.5
2022,1,2,12,40,56,972,488,-3.1
2022,1,2,12,50,56,971,486,-2.8
2022,1,2,13,0,56,961,478,-2.5
2022,1,2,13,10,55,959,473,-2.3
2022,1,2,13,20,55,956,465,-2.2
2022,1,2,13,30,54,952,457,-2
2022,1,2,13,40,54,947,446,-1.8
2022,1,2,13,50,53,942,434,-1.6
2022,1,2,14,0,52,936,421,-1.5
2022,1,2,14,10,51,928,406,-1.5
2022,1,2,14,20,50,920,390,-1.4
2022,1,2,14,30,49,910,372,-1.4
2022,1,2,14,40,49,897,353,-1.4
2022,1,2,14,50,48,885,333,-1.4
2022,1,2,15,0,46,871,311,-1.4
2022,1,2,15,10,45,863,291,-1.7
2022,1,2,15,20,43,844,267,-2.1
2022,1,2,15,30,41,823,243,-2.4
2022,1,2,15,40,126,197,170,-2.7
2022,1,2,15,50,124,45,133,-3.1
2022,1,2,16,0,90,282,140,-3.4
2022,1,2,16,10,95,67,105,-3.9
2022,1,2,16,20,69,12,71,-4.5
2022,1,2,16,30,28,0,28,-5
2022,1,2,16,40,35,2,35,-5.5
2022,1,2,16,50,19,0,19,-6.1
2022,1,2,17,0,10,1,10,-6.6
2022,1,2,17,10,0,0,0,-7
2022,1,2,17,20,0,0,0,-7.3
2022,1,2,17,30,0,0,0,-7.7
2022,1,2,17,40,0,0,0,-8.1
2022,1,2,17,50,0,0,0,-8.4
2022,1,2,18,0,0,0,0,-8.8
2022,1,2,18,10,0,0,0,-9
2022,1,2,18,20,0,0,0,-9.3
2022,1,2,18,30,0,0,0,-9.6
2022,1,2,18,40,0,0,0,-9.8
2022,1,2,18,50,0,0,0,-10.1
2022,1,2,19,0,0,0,0,-10.3
2022,1,2,19,10,0,0,0,-10.5
2022,1,2,19,20,0,0,0,-10.6
2022,1,2,19,30,0,0,0,-10.7
2022,1,2,19,40,0,0,0,-10.8
2022,1,2,19,50,0,0,0,-11
2022,1,2,20,0,0,0,0,-11.1
2022,1,2,20,10,0,0,0,-11.1
2022,1,2,20,20,0,0,0,-11.1
2022,1,2,20,30,0,0,0,-11.1
2022,1,2,20,40,0,0,0,-11.2
2022,1,2,20,50,0,0,0,-11.2
2022,1,2,21,0,0,0,0,-11.2
2022,1,2,21,10,0,0,0,-11.2
2022,1,2,21,20,0,0,0,-11.2
2022,1,2,21,30,0,0,0,-11.2
2022,1,2,21,40,0,0,0,-11.2
2022,1,2,21,50,0,0,0,-11.2
2022,1,2,22,0,0,0,0,-11.2
2022,1,2,22,10,0,0,0,-11.3
2022,1,2,22,20,0,0,0,-11.3
2022,1,2,22,30,0,0,0,-11.3
2022,1,2,22,40,0,0,0,-11.3
2022,1,2,22,50,0,0,0,-11.4
2022,1,2,23,0,0,0,0,-11.4
2022,1,2,23,10,0,0,0,-11.4
2022,1,2,23,20,0,0,0,-11.5
2022,1,2,23,30,0,0,0,-11.5
2022,1,2,23,40,0,0,0,-11.6
2022,1,2,23,50,0,0,0,-11.6
2022,1,3,0,0,0,0,0,-11.7
2022,1,3,0,10,0,0,0,-11.7
2022,1,3,0,20,0,0,0,-11.8
2022,1,3,0,30,0,0,0,-11.8
2022,1,3,0,40,0,0,0,-11.8
2022,1,3,0,50,0,0,0,-11.9
2022,1,3,1,0,0,0,0,-11.9
2022,1,3,1,10,0,0,0,-11.9
2022,1,3,1,20,0,0,0,-11.9
2022,1,3,1,30,0,0,0,-11.8
2022,1,3,1,40,0,0,0,-11.8
2022,1,3,1,50,0,0,0,-11.8
2022,1,3,2,0,0,0,0,-11.8
2022,1,3,2,10,0,0,0,-11.7
2022,1,3,2,20,0,0,0,-11.7
2022,1,3,2,30,0,0,0,-11.7
2022,1,3,2,40,0,0,0,-11.6
2022,1,3,2,50,0,0,0,-11.6
2022,1,3,3,0,0,0,0,-11.5
2022,1,3,3,10,0,0,0,-11.5
2022,1,3,3,20,0,0,0,-11.5
2022,1,3,3,30,0,0,0,-11.5
2022,1,3,3,40,0,0,0,-11.4
2022,1,3,3,50,0,0,0,-11.4
2022,1,3,4,0,0,0,0,-11.4
2022,1,3,4,10,0,0,0,-11.4
2022,1,3,4,20,0,0,0,-11.3
2022,1,3,4,30,0,0,0,-11.3
2022,1,3,4,40,0,0,0,-11.3
2022,1,3,4,50,0,0,0,-11.3
2022,1,3,5,0,0,0,0,-11.2
2022,1,3,5,10,0,0,0,-11.2
2022,1,3,5,20,0,0,0,-11.1
2022,1,3,5,30,0,0,0,-11.1
2022,1,3,5,40,0,0,0,-11
2022,1,3,5,50,0,0,0,-11
2022,1,3,6,0,0,0,0,-10.9
2022,1,3,6,10,0,0,0,-10.9
2022,1,3,6,20,0,0,0,-10.8
2022,1,3,6,30,0,0,0,-10.8
2022,1,3,6,40,0,0,0,-10.7
2022,1,3,6,50,0,0,0,-10.7
2022,1,3,7,0,0,0,0,-10.6
2022,1,3,7,10,0,0,0,-10.5
2022,1,3,7,20,0,0,0,-10.4
2022,1,3,7,30,0,0,0,-10.3
2022,1,3,7,40,0,0,0,-10.2
2022,1,3,7,50,0,0,0,-10.1
2022,1,3,8,0,0,0,0,-10.1
2022,1,3,8,10,13,0,13,-9.6
2022,1,3,8,20,25,0,25,-9.1
2022,1,3,8,30,49,7,50,-8.6
2022,1,3,8,40,68,17,70,-8.1
2022,1,3,8,50,88,35,93,-7.6
2022,1,3,9,0,105,46,112,-7.1
2022,1,3,9,10,39,758,185,-6.5
2022,1,3,9,20,41,789,211,-5.9
2022,1,3,9,30,44,816,238,-5.2
2022,1,3,9,40,45,841,263,-4.6
2022,1,3,9,50,47,860,287,-3.9
2022,1,3,10,0,49,891,315,-3.3
2022,1,3,10,10,51,905,337,-2.9
2022,1,3,10,20,53,919,359,-2.6
2022,1,3,10,30,54,930,379,-2.2
2022,1,3,10,40,148,634,379,-1.9
2022,1,3,10,50,134,700,398,-1.5
2022,1,3,11,0,57,957,431,-1.1
2022,1,3,11,10,58,964,446,-0.8
2022,1,3,11,20,59,970,458,-0.5
2022,1,3,11,30,60,974,470,-0.3
2022,1,3,11,40,218,11,222,0
2022,1,3,11,50,207,496,422,0.3
2022,1,3,12,0,173,630,450,0.6
2022,1,3,12,10,172,692,479,0.8
2022,1,3,12,20,184,633,465,1.1
2022,1,3,12,30,177,674,477,1.3
2022,1,3,12,40,178,669,476,1.5
2022,1,3,12,50,210,510,436,1.7
2022,1,3,13,0,192,557,438,1.9
2022,1,3,13,10,213,9,217,2
2022,1,3,13,20,210,9,214,2.1
2022,1,3,13,30,169,600,423,2.2
2022,1,3,13,40,238,19,246,2.3
2022,1,3,13,50,273,68,301,2.4
2022,1,3,14,0,174,6,176,2.4
2022,1,3,14,10,253,63,277,2.4
2022,1,3,14,20,140,2,140,2.3
2022,1,3,14,30,124,2,124,2.2
2022,1,3,14,40,109,1,110,2.1
2022,1,3,14,50,111,2,111,2.1
2022,1,3,15,0,96,1,96,2
2022,1,3,15,10,86,1,86,1.8
2022,1,3,15,20,75,1,75,1.5
2022,1,3,15,30,76,1,76,1.3
2022,1,3,15,40,67,1,68,1.1
2022,1,3,15,50,53,0,53,0.9
2022,1,3,16,0,48,0,48,0.7
2022,1,3,16,10,44,0,44,0.5
2022,1,3,16,20,39,0,39,0.3
2022,1,3,16,30,31,0,31,0.1
2022,1,3,16,40,23,0,23,0
2022,1,3,16,50,16,0,16,-0.2
2022,1,3,17,0,8,0,8,-0.4
2022,1,3,17,10,0,0,0,-0.4
2022,1,3,17,20,0,0,0,-0.4
2022,1,3,17,30,0,0,0,-0.4
2022,1,3,17,40,0,0,0,-0.5
2022,1,3,17,50,0,0,0,-0.5
2022,1,3,18,0,0,0,0,-0.5
2022,1,3,18,10,0,0,0,-0.5
2022,1,3,18,20,0,0,0,-0.5
2022,1,3,18,30,0,0,0,-0.5
2022,1,3,18,40,0,0,0,-0.5
2022,1,3,18,50,0,0,0,-0.5
2022,1,3,19,0,0,0,0,-0.5
2022,1,3,19,10,0,0,0,-0.5
2022,1,3,19,20,0,0,0,-0.5
2022,1,3,19,30,0,0,0,-0.5
2022,1,3,19,40,0,0,0,-0.5
2022,1,3,19,50,0,0,0,-0.5
2022,1,3,20,0,0,0,0,-0.5
2022,1,3,20,10,0,0,0,-0.6
2022,1,3,20,20,0,0,0,-0.7
2022,1,3,20,30,0,0,0,-0.7
2022,1,3,20,40,0,0,0,-0.8
2022,1,3,20,50,0,0,0,-0.8
2022,1,3,21,0,0,0,0,-0.9
2022,1,3,21,10,0,0,0,-1.1
2022,1,3,21,20,0,0,0,-1.2
2022,1,3,21,30,0,0,0,-1.4
2022,1,3,21,40,0,0,0,-1.6
2022,1,3,21,50,0,0,0,-1.7
2022,1,3,22,0,0,0,0,-1.9
2022,1,3,22,10,0,0,0,-2.1
2022,1,3,22,20,0,0,0,-2.3
2022,1,3,22,30,0,0,0,-2.5
2022,1,3,22,40,0,0,0,-2.6
2022,1,3,22,50,0,0,0,-2.8
2022,1,3,23,0,0,0,0,-3
2022,1,3,23,10,0,0,0,-3.1
2022,1,3,23,20,0,0,0,-3.1
2022,1,3,23,30,0,0,0,-3.2
2022,1,3,23,40,0,0,0,-3.3
2022,1,3,23,50,0,0,0,-3.3
2022,1,4,0,0,0,0,0,-3.4
2022,1,4,0,10,0,0,0,-3.3
2022,1,4,0,20,0,0,0,-3.3
2022,1,4,0,30,0,0,0,-3.2
2022,1,4,0,40,0,0,0,-3.2
2022,1,4,0,50,0,0,0,-3.1
2022,1,4,1,0,0,0,0,-3.1
2022,1,4,1,10,0,0,0,-3
2022,1,4,1,20,0,0,0,-2.9
2022,1,4,1,30,0,0,0,-2.8
2022,1,4,1,40,0,0,0,-2.8
2022,1,4,1,50,0,0,0,-2.7
2022,1,4,2,0,0,0,0,-2.6
2022,1,4,2,10,0,0,0,-2.5
2022,1,4,2,20,0,0,0,-2.5
2022,1,4,2,30,0,0,0,-2.4
2022,1,4,2,40,0,0,0,-2.3
2022,1,4,2,50,0,0,0,-2.2
2022,1,4,3,0,0,0,0,-2.2
2022,1,4,3,10,0,0,0,-2
2022,1,4,3,20,0,0,0,-1.8
2022,1,4,3,30,0,0,0,-1.7
2022,1,4,3,40,0,0,0,-1.5
2022,1,4,3,50,0,0,0,-1.3
2022,1,4,4,0,0,0,0,-1.2
2022,1,4,4,10,0,0,0,-1
2022,1,4,4,20,0,0,0,-0.8
2022,1,4,4,30,0,0,0,-0.6
2022,1,4,4,40,0,0,0,-0.4
2022,1,4,4,50,0,0,0,-0.2
2022,1,4,5,0,0,0,0,-0.1
2022,1,4,5,10,0,0,0,0
2022,1,4,5,20,0,0,0,0.1
2022,1,4,5,30,0,0,0,0.2
2022,1,4,5,40,0,0,0,0.3
2022,1,4,5,50,0,0,0,0.3
2022,1,4,6,0,0,0,0,0.4
2022,1,4,6,10,0,0,0,0.4
2022,1,4,6,20,0,0,0,0.4
2022,1,4,6,30,0,0,0,0.3
2022,1,4,6,40,0,0,0,0.3
2022,1,4,6,50,0,0,0,0.3
2022,1,4,7,0,0,0,0,0.3
2022,1,4,7,10,0,0,0,0.2
2022,1,4,7,20,0,0,0,0.2
2022,1,4,7,30,0,0,0,0.2
2022,1,4,7,40,0,0,0,0.1
2022,1,4,7,50,0,0,0,0.1
2022,1,4,8,0,0,0,0,0
2022,1,4,8,10,12,0,12,0.1
2022,1,4,8,20,18,0,18,0.2
2022,1,4,8,30,24,0,24,0.3
2022,1,4,8,40,38,1,38,0.4
2022,1,4,8,50,37,0,37,0.5
2022,1,4,9,0,42,0,42,0.6
2022,1,4,9,10,48,0,48,0.8
2022,1,4,9,20,55,0,55,1
2022,1,4,9,30,65,1,65,1.1
2022,1,4,9,40,80,1,80,1.3
2022,1,4,9,50,169,178,219,1.5
2022,1,4,10,0,81,1,82,1.6
2022,1,4,10,10,100,2,101,1.7
2022,1,4,10,20,101,1,102,1.9
2022,1,4,10,30,109,1,109,2
2022,1,4,10,40,110,1,111,2.1
2022,1,4,10,50,120,2,121,2.2
2022,1,4,11,0,137,3,138,2.3
2022,1,4,11,10,144,3,145,2.4
2022,1,4,11,20,146,3,147,2.4
2022,1,4,11,30,155,3,156,2.5
2022,1,4,11,40,160,3,161,2.5
2022,1,4,11,50,171,4,173,2.6
2022,1,4,12,0,162,3,163,2.7
2022,1,4,12,10,166,3,167,2.7
2022,1,4,12,20,165,3,166,2.7
2022,1,4,12,30,171,4,173,2.8
2022,1,4,12,40,157,3,158,2.8
2022,1,4,12,50,151,2,152,2.8
2022,1,4,13,0,141,2,142,2.9
2022,1,4,13,10,125,1,125,2.9
2022,1,4,13,20,152,3,153,2.9
2022,1,4,13,30,128,1,128,2.9
2022,1,4,13,40,124,1,124,2.9
2022,1,4,13,50,24,0,24,2.9
2022,1,4,14,0,183,11,188,2.9
2022,1,4,14,10,108,1,109,2.9
2022,1,4,14,20,126,2,127,2.9
2022,1,4,14,30,100,1,100,2.9
2022,1,4,14,40,102,1,102,2.8
2022,1,4,14,50,108,2,109,2.8
2022,1,4,15,0,73,1,73,2.8
2022,1,4,15,10,80,1,81,2.7
2022,1,4,15,20,67,1,68,2.7
2022,1,4,15,30,53,0,53,2.6
2022,1,4,15,40,50,0,51,2.5
2022,1,4,15,50,110,19,114,2.5
2022,1,4,16,0,105,91,121,2.4
2022,1,4,16,10,78,302,126,2.3
2022,1,4,16,20,55,3,56,2.2
2022,1,4,16,30,31,0,31,2.1
2022,1,4,16,40,19,0,19,2
2022,1,4,16,50,14,0,14,1.9
2022,1,4,17,0,7,0,7,1.8
2022,1,4,17,10,0,0,0,1.8
2022,1,4,17,20,0,0,0,1.7
2022,1,4,17,30,0,0,0,1.7
2022,1,4,17,40,0,0,0,1.6
2022,1,4,17,50,0,0,0,1.6
2022,1,4,18,0,0,0,0,1.5
2022,1,4,18,10,0,0,0,1.4
2022,1,4,18,20,0,0,0,1.4
2022,1,4,18,30,0,0,0,1.3
2022,1,4,18,40,0,0,0,1.2
2022,1,4,18,50,0,0,0,1.1
2022,1,4,19,0,0,0,0,1
